Name;Year of establishment;Ownership;Category
Federal College of Education (Technical), Asaba;1987.0;Federal Government;College of Education
Federal College of Education, Kano;1961.0;Federal Government;College of Education
Federal College of Education (Special), Oyo;1977.0;Federal Government;College of Education
College of Education, Gindiri;1980.0;State Government;College of Education
College of Education, Hong;1970.0;State Government;College of Education
Tai Solarin College of Education, Ijebu-Ode;1978.0;State Government;College of Education
College of Education, Ikere-Ekiti;1977.0;State Government;College of Education
Ebonyi State College of Education, (T) Ikwo;2001.0;State Government;College of Education
College of Education, Warri;1980.0;State Government;College of Education
FCT College of Education, Zuba;1997.0;State Government;College of Education
Delar College of Education;1990.0;Private;College of Education
Federal College of Education, Abeokuta;1976.0;Federal Government;College of Education
Federal College of Education, Eha-Amufu;1981.0;Federal Government;College of Education
Federal College of Education (Technical), Gombe;1977.0;Federal Government;College of Education
Federal College of Education, Kontagora;1958.0;Federal Government;College of Education
Federal College of Education, Okene;1974.0;Federal Government;College of Education
Federal College of Education (Technical), Omoku;1989.0;Federal Government;College of Education
Federal College of Education (Tech), Potiskum;1976.0;Federal Government;College of Education
Nasarrawa State College of Education, Akwanga;1976.0;State Government;College of Education
Isa Kaita College of Education, Dutsin-Ma;1991.0;State Government;College of Education
College of Education, Ekiadolor-Benin;1980.0;State Government;College of Education
College of Education, Gashua, Damaturu;1986.0;State Government;College of Education
Kaduna State College of Education, Gidan-Waya, Kafanchan;1977.0;State Government;College of Education
Osun State College of Education, Ilesa;1977.0;State Government;College of Education
College of Education Oro;1976.0;State Government;College of Education
College of Education, katsina-Ala;1976.0;State Government;College of Education
Sa'adatu Rimi College of Education, Kumbotso, Kano;1981.0;State Government;College of Education
College of Education (Technical), Lafiagi;1991.0;State Government;College of Education
Nwafor Orizu College of Education, Nsugbe;1976.0;State Government;College of Education
Adeniran Ogunsanya College of Education, Otto/Ijanikin;1958.0;State Government;College of Education
Alvan Ikoku College of Education, Owerri;1963.0;Federal Government;College of Education
Emmanuel Alayande College of Education (EACOED), Oyo;1980.0;State Government;College of Education
College of Education, Waka BIU;1986.0;State Government;College of Education
City College of Education, Mararaba;2003.0;Private;College of Education
Federal College of Education (Technical), Akoka;1967.0;Federal Government;College of Education
Federal College of Education (Technical), Bichi;1987.0;Federal Government;College of Education
Federal College of Education (Technical), Gusau;1990.0;Federal Government;College of Education
Federal College of Education, Katsina;1976.0;Federal Government;College of Education
Federal College of Education, Obudu;1983.0;Federal Government;College of Education
Adeyemi College of Education, Ondo;1964.0;Federal Government;College of Education
Federal College of Education, Pankshin;1974.0;Federal Government;College of Education
Federal College of Education, Yola;1974.0;Federal Government;College of Education
Delta State College of Education, Agbor;1979.0;State Government;College of Education
Federal College of Education, Zaria;1962.0;Federal Government;College of Education
Akwa Ibom State College of Education, Afahansit;1991.0;State Government;College of Education
Kogi State College of Education, Ankpa;1981.0;State Government;College of Education
Adamu Augie College of Education, Argungu;1993.0;State Government;College of Education
Aminu Sale College of Education, Azare;1977.0;State Government;College of Education
Umar Ibn Ibrahim El-Kanemi College of Education, Science and Technology, Bama;1976.0;State Government;College of Education
Nigerian Army School of Education (NASE), Ilorin;1970.0;Federal Government;College of Education
Zamfara State College of Education, Maru;2000.0;State Government;College of Education
Jigawa State College of Education, Gumel;1976.0;State Government;College of Education
Niger State College of Education, Minna;1975.0;State Government;College of Education
Shehu Shagari College of Education, Sokoto;1970.0;State Government;College of Education
Tijjani Ibrahim College of Education;;Private;College of Education
